epoch,accuracy,loss,val_accuracy,val_loss
1,0.9229076504707336,0.4896582067012787,0.18541452288627625,3.2176504135131836
2,0.9350658655166626,0.24733810126781464,0.490540087223053,1.9149593114852905
3,0.9467201232910156,0.1850614994764328,0.551986575126648,1.7634449005126953
4,0.9510842561721802,0.17359845340251923,0.6019521951675415,1.619642972946167
5,0.9538995027542114,0.17000198364257812,0.6269779801368713,1.578379511833191
6,0.9550305008888245,0.1678905040025711,0.6411678791046143,1.5711091756820679
7,0.9558172821998596,0.17090372741222382,0.6468868255615234,1.5847891569137573
8,0.9575875401496887,0.16807737946510315,0.6526057720184326,1.603062391281128
9,0.9576981663703918,0.17091681063175201,0.6643016934394836,1.5762708187103271
10,0.9590627551078796,0.16778291761875153,0.6673546433448792,1.6069499254226685
