epoch,accuracy,loss,val_accuracy,val_loss
1,0.63575679063797,0.7837320566177368,0.4224716126918793,1.7657634019851685
2,0.6405020356178284,0.7772781848907471,0.4381664991378784,1.5126159191131592
3,0.6472511887550354,0.771949052810669,0.42969557642936707,1.670107126235962
4,0.6487141251564026,0.7483471632003784,0.43356552720069885,1.5571082830429077
5,0.6546149849891663,0.7393007278442383,0.449260413646698,1.4851934909820557
6,0.6505089402198792,0.7206441760063171,0.4356295168399811,1.4315190315246582
7,0.6577743887901306,0.7102746367454529,0.4883470833301544,1.4301708936691284
8,0.6630114316940308,0.6986387372016907,0.4734262228012085,1.321134090423584
9,0.6664167046546936,0.696251630783081,0.4561833441257477,1.4830751419067383
10,0.6713094711303711,0.6764664053916931,0.47626417875289917,1.239319086074829
