epoch,accuracy,loss,val_accuracy,val_loss
1,0.6683123111724854,0.8479880690574646,0.8398246765136719,0.40133458375930786
2,0.8137891292572021,0.4887615442276001,0.7912335395812988,0.5586470365524292
3,0.8598207235336304,0.38358885049819946,0.7790858149528503,0.6286790370941162
4,0.8948655128479004,0.3010266125202179,0.7608014941215515,0.745498776435852
