epoch,accuracy,loss,val_accuracy,val_loss
1,0.947868287563324,0.21424247324466705,0.22013065218925476,3.3264167308807373
2,0.9676583409309387,0.107978954911232,0.3961664140224457,2.2442212104797363
3,0.9738104343414307,0.0839156061410904,0.46750903129577637,1.9198983907699585
4,0.9768004417419434,0.0729454904794693,0.49492865800857544,1.8242980241775513
5,0.9783599972724915,0.06897155940532684,0.5342960357666016,1.647127389907837
6,0.9791343808174133,0.06511188298463821,0.5585353374481201,1.55186927318573
7,0.9801884293556213,0.06199163198471069,0.5642943382263184,1.5273520946502686
8,0.9804357886314392,0.06063661724328995,0.5723741054534912,1.4895461797714233
9,0.9810811281204224,0.059166569262742996,0.5765858888626099,1.4797139167785645
10,0.9812639951705933,0.05844062566757202,0.5854392051696777,1.4348127841949463
11,0.9815436005592346,0.05684920772910118,0.5972150564193726,1.3748759031295776
12,0.9819630980491638,0.05610126629471779,0.5909403562545776,1.4133193492889404
13,0.982672929763794,0.05497546121478081,0.5991060733795166,1.3696181774139404
14,0.9823395013809204,0.05518507584929466,0.5893071889877319,1.4183800220489502
15,0.9821674227714539,0.05438891053199768,0.6025442481040955,1.3578319549560547
16,0.9825223684310913,0.055180955678224564,0.5979027152061462,1.3687061071395874
17,0.9822427034378052,0.05383333936333656,0.6026301980018616,1.3510851860046387
18,0.9823718070983887,0.054814327508211136,0.6231734752655029,1.260551929473877
19,0.9829095602035522,0.0525006502866745,0.6055526733398438,1.349327802658081
20,0.9824686050415039,0.05298657715320587,0.615953266620636,1.3061130046844482
21,0.9829310774803162,0.05398641154170036,0.6272133588790894,1.2543833255767822
22,0.9832429885864258,0.05172203853726387,0.6177582740783691,1.2918604612350464
23,0.9834581017494202,0.05241334065794945,0.6205088496208191,1.287381649017334
24,0.9826299548149109,0.05226767808198929,0.6126009821891785,1.3174625635147095
25,0.9832322597503662,0.052627719938755035,0.6240330338478088,1.272684097290039
