epoch,accuracy,loss,val_accuracy,val_loss
1,0.924444317817688,0.4615987539291382,0.22781217098236084,2.886106252670288
2,0.9372418522834778,0.22243590652942657,0.4966890215873718,1.8854455947875977
3,0.949203372001648,0.1703631728887558,0.5635104775428772,1.6955009698867798
4,0.9528791308403015,0.15988780558109283,0.6044461727142334,1.5925850868225098
5,0.9565426111221313,0.15413795411586761,0.6234949827194214,1.588761568069458
6,0.9576244354248047,0.15281878411769867,0.6396198868751526,1.5794519186019897
7,0.9586939215660095,0.15602202713489532,0.6578087210655212,1.5134549140930176
8,0.9601323008537292,0.1524076610803604,0.65793776512146,1.5762888193130493
9,0.9602306485176086,0.1547643095254898,0.6707946062088013,1.5434653759002686
10,0.9611280560493469,0.15402474999427795,0.6717406511306763,1.5885058641433716
11,0.96063631772995,0.16200584173202515,0.6714396476745605,1.6380853652954102
12,0.9608452916145325,0.1621592491865158,0.6822325587272644,1.6068663597106934
