epoch,accuracy,loss,lr,val_accuracy,val_loss
1,0.9886926412582397,0.04813912883400917,0.0005000000237487257,0.3637809455394745,4.026970386505127
2,0.9889442920684814,0.0505300797522068,0.0005000000237487257,0.4699784219264984,2.7015650272369385
3,0.9909167885780334,0.03880918771028519,0.0005000000237487257,0.44950011372566223,2.986177921295166
4,0.9909005165100098,0.03734574094414711,0.0005000000237487257,0.480288565158844,2.823054075241089
5,0.9906570315361023,0.04040641337633133,0.0005000000237487257,0.5321233868598938,2.5947091579437256
6,0.991200864315033,0.04053394868969917,0.0005000000237487257,0.5030106902122498,2.7832512855529785
7,0.9913875460624695,0.03892994672060013,0.0005000000237487257,0.4941490590572357,2.9425342082977295
8,0.9907869100570679,0.04107760637998581,0.0005000000237487257,0.5372926592826843,2.5660300254821777
9,0.9915174245834351,0.03676849976181984,0.0005000000237487257,0.5286582708358765,2.724954128265381
10,0.9915255904197693,0.037301722913980484,0.0005000000237487257,0.5415246486663818,2.6347594261169434
11,0.9918258786201477,0.03709927573800087,0.0005000000237487257,0.5891558527946472,2.244701862335205
12,0.9918745756149292,0.03675338625907898,0.0005000000237487257,0.5070722699165344,3.035266876220703
13,0.9916310906410217,0.03984437882900238,0.0005000000237487257,0.519711434841156,3.0096147060394287
14,0.9915174245834351,0.03852292150259018,0.0005000000237487257,0.544166088104248,2.6554670333862305
15,0.9917041659355164,0.040385548025369644,0.0005000000237487257,0.5271245241165161,2.8454926013946533
16,0.9915499091148376,0.038244035094976425,0.0005000000237487257,0.5391388535499573,2.8307437896728516
