epoch,accuracy,loss,val_accuracy,val_loss
1,0.9171665906906128,0.46456772089004517,0.08479531854391098,5.1014180183410645
2,0.9027955532073975,0.32240602374076843,0.20820432901382446,2.5053153038024902
3,0.924702525138855,0.21418964862823486,0.331312358379364,1.9566904306411743
4,0.9340823888778687,0.18562529981136322,0.41228070855140686,1.6918901205062866
5,0.9398849606513977,0.16775037348270416,0.464611291885376,1.564294695854187
6,0.9443106055259705,0.1610025018453598,0.49866700172424316,1.5038973093032837
7,0.9468307495117188,0.1561126857995987,0.5337117314338684,1.4237743616104126
8,0.9491296410560608,0.15189005434513092,0.5491915941238403,1.4159783124923706
9,0.9499901533126831,0.14808380603790283,0.5700894594192505,1.367171287536621
10,0.9520431756973267,0.14430958032608032,0.5771843791007996,1.3842681646347046
