epoch,accuracy,loss,val_accuracy,val_loss
1,0.9403955936431885,0.2811424136161804,0.6394489407539368,0.9369012713432312
2,0.9446116089820862,0.17077085375785828,0.7544144988059998,0.6534961462020874
3,0.9512256383895874,0.1420648694038391,0.7892298102378845,0.569999635219574
4,0.9549871683120728,0.12714456021785736,0.8067626953125,0.5327872633934021
5,0.9562253355979919,0.1201116070151329,0.8162805438041687,0.5084996819496155
6,0.959297239780426,0.11270876973867416,0.8231684565544128,0.4935440421104431
7,0.960096538066864,0.1102239191532135,0.8290544748306274,0.4785793125629425
8,0.9616795182228088,0.10773561149835587,0.8276768922805786,0.47962379455566406
9,0.9615071415901184,0.10532200336456299,0.8331872224807739,0.46601569652557373
10,0.9632154703140259,0.10366159677505493,0.834940493106842,0.4593118727207184
