epoch,accuracy,loss,val_accuracy,val_loss
1,0.8803722262382507,1.1174418926239014,0.08479531854391098,8.970772743225098
2,0.7512293457984924,1.446487545967102,0.10031820088624954,5.099575996398926
3,0.8269448280334473,0.6221069693565369,0.3517371714115143,2.269911289215088
4,0.8713242411613464,0.4184008836746216,0.45080840587615967,1.8840129375457764
5,0.8827940821647644,0.383889377117157,0.4990540146827698,1.7781399488449097
6,0.8870353102684021,0.37663665413856506,0.534270703792572,1.7131099700927734
7,0.8929730653762817,0.3634278476238251,0.5606725215911865,1.663199782371521
8,0.8962430953979492,0.36728447675704956,0.574260413646698,1.6707462072372437
9,0.8975216150283813,0.36428067088127136,0.5950292348861694,1.629568099975586
10,0.9013326168060303,0.35531091690063477,0.6092621088027954,1.6054004430770874
